,system,entropy,diversity,log n
0,Graphene,4.245286574729721,645.0078,11.299732244509187
1,Graphite,5.609408378601074,518.51996,9.410829232725586
2,Graphite_Layer_Sep,1.2518527507781982,13.569169,8.909235279192261
3,Nanotubes,7.028353214263916,6464.1953,11.070381348620643
